user_id,block_number,trial_number,purchase_decision,classification_decision,stimulus_seen,dss_judgment,decision_time,correct_classification
6,1,1,False,noise,5.92,nan,1.601273,noise
6,1,2,False,noise,4.09,nan,1.405825,noise
6,1,3,False,noise,7.12,nan,1.384301,signal
6,1,4,False,noise,4.75,nan,1.327197,noise
6,1,5,False,noise,5.33,nan,1.356868,noise
6,1,6,False,noise,4.65,nan,1.457253,noise
6,1,7,False,noise,6.59,nan,1.307603,noise
6,1,8,False,noise,6.34,nan,1.571947,noise
6,2,1,True,noise,5.4,noise,3.584833,noise
6,2,2,True,noise,4.81,signal,1.588545,noise
6,2,3,True,noise,4.34,signal,1.426881,noise
6,2,4,True,noise,5.3,noise,1.376757,noise
6,2,5,True,noise,3.93,noise,1.367598,noise
6,2,6,True,noise,3.83,noise,130.829267,noise
6,2,7,True,noise,6.35,noise,2.11391,noise
6,2,8,True,noise,6.42,signal,1.225467,signal
6,3,1,False,noise,6.45,signal,5.28273,signal
6,3,2,False,noise,5.47,noise,3.637909,noise
6,3,3,False,noise,4.07,noise,2.193242,noise
6,3,4,False,noise,5.32,signal,1.713465,signal
6,3,5,False,noise,5.16,noise,0.932224,noise
6,3,6,False,noise,5.19,signal,0.925842,noise
6,3,7,False,noise,6.12,signal,0.891354,signal
6,3,8,False,noise,4.65,signal,0.92645,signal
6,4,1,True,noise,6.8,signal,1.486065,signal
6,4,2,True,noise,6.55,signal,1.092338,signal
6,4,3,True,noise,5.74,signal,0.977082,signal
6,4,4,True,noise,4.51,noise,0.986399,noise
6,4,5,True,signal,5.25,signal,18.746045,noise
6,4,6,True,noise,4.74,noise,4.442126,noise
6,4,7,True,noise,4.06,noise,25.352238,noise
6,4,8,True,noise,5.89,noise,8.853793,signal
8,1,1,False,noise,5.92,signal,1.579295,noise
8,1,2,False,noise,4.09,signal,1.040439,noise
8,1,3,False,noise,7.12,signal,0.944782,signal
8,1,4,False,noise,4.75,signal,0.873816,noise
8,1,5,False,noise,5.33,signal,0.841234,noise
8,1,6,False,noise,6.94,noise,0.82714,signal
8,1,7,False,noise,6.59,signal,0.823763,noise
8,1,8,False,noise,6.34,signal,0.787498,noise
8,2,1,True,noise,5.4,noise,2.148775,noise
8,2,2,True,noise,4.81,signal,0.872413,noise
8,2,3,True,noise,6.61,noise,0.824634,signal
8,2,4,True,noise,5.3,noise,2.227128,noise
8,2,5,True,noise,3.93,noise,0.823644,noise
8,2,6,True,noise,6.76,signal,0.827519,signal
8,2,7,True,noise,6.15,noise,0.788735,noise
8,2,8,True,noise,6.62,signal,1.609033,signal
8,3,1,False,noise,6.45,signal,3.212769,signal
8,3,2,False,noise,5.47,noise,0.790895,noise
8,3,3,False,noise,4.07,noise,0.824123,noise
8,3,4,False,noise,6.72,signal,0.840992,signal
8,3,5,False,noise,5.16,noise,0.859923,noise
8,3,6,False,noise,5.19,signal,0.84181,noise
8,3,7,False,noise,6.32,signal,0.843256,signal
8,3,8,False,noise,6.65,signal,0.874707,signal
8,4,1,False,noise,6.8,signal,2.161755,signal
8,4,2,False,noise,4.74,noise,1.461691,noise
8,4,3,False,noise,5.74,signal,0.873774,signal
8,4,4,False,noise,4.51,noise,1.508802,noise
8,4,5,False,noise,5.25,signal,0.824667,noise
8,4,6,False,noise,6.55,signal,0.80787,signal
8,4,7,False,noise,4.06,noise,0.858761,noise
8,4,8,False,noise,5.89,noise,0.843964,signal
9,1,1,False,noise,5.92,signal,1.713187,noise
9,1,2,False,noise,4.09,signal,1.338862,noise
9,2,1,True,noise,5.4,noise,1.643451,noise
9,2,2,True,noise,4.81,signal,0.975975,noise
9,3,1,True,noise,6.45,signal,1.877463,signal
9,3,2,True,noise,5.47,noise,1.193838,noise
9,4,1,False,noise,6.8,signal,1.627445,signal
9,4,2,False,noise,4.74,noise,1.090061,noise
10,1,1,False,noise,5.92,signal,1.335236,noise
10,1,2,False,noise,4.09,signal,1.30643,noise
10,2,1,True,noise,5.4,noise,1.333167,noise
10,2,2,True,noise,4.81,signal,1.043065,noise
10,3,1,True,noise,6.45,signal,1.596445,signal
10,3,2,True,noise,5.47,noise,1.010785,noise
10,4,1,True,noise,6.8,signal,1.648694,signal
10,4,2,True,noise,4.74,noise,1.191727,noise
11,1,1,False,noise,5.92,signal,1.650985,noise
11,1,2,False,noise,4.09,signal,0.840625,noise
11,2,1,True,noise,5.4,noise,1.163138,noise
11,2,2,True,noise,4.81,noise,0.928548,noise
11,3,1,False,noise,6.45,signal,1.564142,signal
11,3,2,False,noise,5.47,noise,0.992892,noise
11,4,1,True,noise,6.8,noise,1.594892,signal
11,4,2,True,noise,4.74,noise,1.009379,noise
12,1,1,False,noise,5.92,signal,1.558492,noise
12,1,2,False,noise,4.09,signal,0.940681,noise
12,2,1,True,noise,5.4,noise,1.293491,noise
12,2,2,True,noise,4.81,noise,0.77625,noise
12,3,1,True,noise,6.45,signal,2.026109,signal
12,3,2,True,noise,5.47,noise,1.209356,noise
12,4,1,True,noise,6.8,noise,1.603331,signal
12,4,2,True,noise,4.74,noise,1.073495,noise
13,1,1,False,noise,5.92,signal,1.363033,noise
13,1,2,False,noise,4.09,signal,0.702346,noise
13,2,1,True,noise,5.4,noise,1.328971,noise
13,2,2,True,noise,4.81,noise,0.838399,noise
13,3,1,True,noise,6.45,signal,1.376398,signal
