id,condition,cost,sensitivity,block,trial,pd,event_type,stimulus,DS output,user classification,score,time
2,2,High,High,3,1,0,N,3.7,N,S,27.0,9.571180669993343
2,2,High,High,3,2,0,S,5.5,S,N,21.0,11.618292261265367
2,2,High,High,3,3,0,S,5.3,S,S,24.0,18.839972537203963
2,2,High,High,3,4,0,S,5.0,S,N,18.0,5.071334834569566
2,2,High,High,3,5,0,N,4.6,S,S,15.0,9.594406527279542
2,2,High,High,3,6,0,S,6.5,S,S,18.0,8.844415120072917
2,2,High,High,3,7,0,N,3.5,N,N,21.0,6.153882091202599
2,2,High,High,3,8,0,S,6.9,N,S,24.0,15.271332467362676
2,2,High,High,3,9,0,N,5.5,N,S,21.0,11.76691070797839
2,2,High,High,3,10,0,N,3.9,N,N,24.0,16.114301508345683
2,2,High,High,3,11,0,N,5.4,N,S,21.0,4.285247954358763
2,2,High,High,3,12,0,N,5.8,N,S,18.0,10.274511120529027
2,2,High,High,3,13,0,N,4.5,N,N,21.0,27.422532978508787
2,2,High,High,3,14,0,N,4.3,N,N,24.0,13.369156611345005
2,2,High,High,3,15,0,S,7.6,S,S,27.0,12.180983096403818
2,2,High,High,3,16,0,N,5.1,N,N,30.0,9.90768260956335
2,2,High,High,3,17,0,S,5.3,S,N,24.0,4.346440840608164
2,2,High,High,3,18,0,N,4.1,N,N,27.0,18.259947310909542
2,2,High,High,3,19,0,N,4.3,N,N,30.0,12.055648248366493
2,2,High,High,3,20,0,N,4.7,N,S,27.0,16.35464219775139
2,2,High,High,4,1,1,N,4.8,N,N,19.0,8.212344220236655
2,2,High,High,4,2,1,N,5.0,N,N,22.0,4.817183565410674
2,2,High,High,4,3,1,N,4.9,N,N,25.0,0.806167591488846
2,2,High,High,4,4,1,S,7.5,S,S,28.0,10.392675373414125
2,2,High,High,4,5,1,S,7.1,S,S,31.0,14.688952945341843
2,2,High,High,4,6,1,S,6.5,S,S,34.0,7.002353068101234
2,2,High,High,4,7,1,N,4.7,N,N,37.0,10.490158212870991
2,2,High,High,4,8,1,N,7.2,N,N,40.0,2.6948960128717614
